text,label
NASA confirms water on Mars.,1
COVID-19 vaccines are effective in reducing severe illness.,1
Apple releases new iPhone with breakthrough AI chip.,1
New study shows coffee boosts memory and concentration.,1
World Health Organization declares end to pandemic.,1
Google unveils quantum computer faster than supercomputers.,1
Scientists find evidence of water under Europa’s ice crust.,1
Tesla launches new battery that lasts 1 million miles.,1
Researchers discover gene linked to longer lifespan.,1
Facebook announces AI to detect fake news automatically.,1
Scientists successfully teleport particles over 100 km.,1
Microsoft builds AI that can write software code.,1
Harvard researchers create synthetic blood cells.,1
India launches reusable space shuttle successfully.,1
Japan builds floating solar farms on reservoirs.,1
MIT researchers create self-repairing electronics.,1
Doctors perform world’s first robotic heart surgery.,1
Stanford develops brain-computer interface for speech.,1
First solar-powered airplane completes world tour.,1
AI outperforms doctors in skin cancer diagnosis.,1
Researchers develop plastic-eating enzyme.,1
Germany opens first hydrogen-powered train line.,1
Smart contact lenses can monitor glucose levels.,1
China completes world’s largest radio telescope.,1
UK scientists create lab-grown meat from peas.,1
Autonomous ships begin commercial transport.,1
New malaria vaccine shows 90% effectiveness.,1
Scientists grow miniature brains in lab dishes.,1
AI detects Alzheimer’s years before symptoms.,1
Researchers find microplastics in human placenta.,1
SpaceX launches civilian mission to orbit.,1
Researchers develop biodegradable batteries.,1
NASA’s Perseverance rover finds organics on Mars.,1
Australia tests drone reforestation system.,1
AI used to decode ancient scripts automatically.,1
Gene-editing tool CRISPR used to treat rare disease.,1
Doctors regenerate damaged lungs using stem cells.,1
Ocean cleanup system removes 50 tons of plastic.,1
New graphene filter turns seawater into drinking water.,1
Flying car completes first intercity test flight.,1
Scientists simulate a black hole in lab conditions.,1
Robot chef can cook hundreds of recipes on demand.,1
New battery charges in 10 minutes and lasts all day.,1
Researchers detect gravitational waves from new source.,1
Lab-grown corneas restore sight in human trials.,1
Quantum encryption secures world's first bank transaction.,1
Researchers map entire human brain in 3D.,1
3D-printed homes reduce construction time by 80%.,1
AI translates animal sounds into human language.,1
Medical drone delivers organs for transplant in record time.,1
Aliens landed on the White House lawn last night.,0
"Drinking bleach cures all diseases, says anonymous source.",0
Celebrity claims Earth is flat in new interview.,0
Government replaced all birds with drones for surveillance.,0
"Pyramids in Egypt built by time travelers, expert claims.",0
Man claims he can time travel using his microwave.,0
"Wearing magnets can cure all types of diseases, says guru.",0
Unicorn found in Himalayas by local shepherds.,0
"Moon landing was staged, says viral video.",0
"Aliens are controlling the government, insider claims.",0
Flat Earth society opens new headquarters in Antarctica.,0
"Secret underground city found on Mars, conspiracy theorists claim.",0
"Ancient aliens helped build the Great Wall, report claims.",0
"Drinking gold water can reverse aging, expert says.",0
"Mermaids spotted off the coast of Florida, video goes viral.",0
Bigfoot seen using smartphone in Oregon forest.,0
"Wearing tinfoil hats boosts intelligence, study says.",0
Government hiding alien tech under national parks.,0
"Mars rover finds alien fossils, media silent.",0
"Dinosaurs spotted in Congo, claims adventurer.",0
Haunted toaster possesses family in Ohio.,0
Scientists discover time portal in Bermuda Triangle.,0
Atlantis discovered under Antarctic ice.,0
Eating crayons makes you immune to COVID-19.,0
Zombie outbreak reported in rural village.,0
Scientists clone extinct unicorn species.,0
Teleportation device found in ancient ruins.,0
Time traveler arrested for predicting future events.,0
Psychic dog solves crime using telepathy.,0
Wormhole discovered in Grand Canyon.,0
Aliens built Stonehenge to control Earth's gravity.,0
"Cats secretly run the internet, documents reveal.",0
New planet discovered made entirely of diamonds.,0
"Humans evolved from jellyfish, new theory suggests.",0
Robot becomes self-aware and demands citizenship.,0
NASA hides evidence of second moon.,0
UFO sighted by 1000 people during solar eclipse.,0
Alien virus discovered in Siberian ice.,0
People developing telekinesis after vaccine.,0
Loch Ness monster is a genetically modified eel.,0
Invisible man caught on airport scanner.,0
Ghost ship reappears after 100 years missing.,0
Alien baby born in hospital after UFO sighting.,0
Mind-reading chip leaks thoughts online.,0
Trees found to communicate via Morse code.,0
Scientist says Earth's core is actually hollow.,0
Moon is an alien surveillance device.,0
Earth to collide with rogue planet next month.,0
Secret alien base discovered on moon's dark side.,0
New study: shouting at vegetables makes them grow faster.,0
